General
Serial Number,IQDVT Version,CV VERSION,DUT VERSION,Date,Time
,1.8.7.2,wlan_7.2.300@r1044+a+233+a+23-e90bc1,2.27.1_r1044+a+233+a+23-e90bc1,2026/1/19,16:31
XTAL Calibration
Test,Band,OffsetWord,Freq Offset[PPM],Limit,Temperature,Pass/Fail
1,2G,46,0.07, ,47,Pass
TX Calibration 24GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=23dBm] [<=-25dB],Power @ EVM -35dB,UEvm, Power & EVM Limit [>=20dBm] [<=-35dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
7.1,5G,802.11ax,3,MCS7,20MHz,5180,-0.03,34,17.31,(17.00 - 18.00),Pass,21.71,-25.37,Pass,18.76,-38.84,Pass,4,43,364,1070,0.37,Pass,48,Pass
7.2,5G,802.11ax,0,MCS7,20MHz,5320,0.03,34,17.69,(17.00 - 18.00),Pass,23.15,-25.18,Pass,20.19,-38.43,Pass,4,41,365,1297,0.26,Pass,48,Pass
7.2,5G,802.11ax,1,MCS7,20MHz,5320,0.03,33,17.43,(17.00 - 18.00),Pass,22.90,-26.97,Pass,20.92,-37.14,Pass,3,42,460,-365,0.40,Pass,49,Pass
7.2,5G,802.11ax,2,MCS7,20MHz,5320,0.02,33,17.37,(17.00 - 18.00),Pass,22.78,-26.51,Pass,20.82,-36.55,Pass,4,41,371,1192,0.44,Pass,48,Pass
7.2,5G,802.11ax,3,MCS7,20MHz,5320,0.03,32,17.30,(17.00 - 18.00),Pass,22.72,-26.09,Pass,20.78,-36.56,Pass,4,41,366,1089,0.29,Pass,48,Pass
7.3,5G,802.11ax,0,MCS7,20MHz,5500,-0.00,34,17.53,(17.00 - 18.00),Pass,20.99,-28.37,Pass,19.02,-38.94,Pass,4,43,362,1368,0.38,Pass,49,Pass
7.3,5G,802.11ax,1,MCS7,20MHz,5500,-0.03,35,17.66,(17.00 - 18.00),Pass,21.03,-26.67,Pass,19.09,-36.73,Pass,4,45,340,1863,0.44,Pass,49,Pass
7.3,5G,802.11ax,2,MCS7,20MHz,5500,-0.04,35,17.70,(17.00 - 18.00),Pass,21.11,-27.22,Pass,18.15,-39.81,Pass,4,43,365,1422,0.41,Pass,49,Pass
7.3,5G,802.11ax,3,MCS7,20MHz,5500,-0.05,34,17.66,(17.00 - 18.00),Pass,21.12,-28.22,Pass,19.16,-38.86,Pass,4,43,361,1271,0.41,Pass,49,Pass
7.4,5G,802.11ax,0,MCS7,20MHz,5600,-0.07,33,17.59,(17.00 - 18.00),Pass,23.19,-27.58,Pass,21.15,-36.15,Pass,4,42,366,1294,0.20,Pass,49,Pass
7.4,5G,802.11ax,1,MCS7,20MHz,5600,-0.07,34,17.53,(17.00 - 18.00),Pass,23.11,-27.29,Pass,20.02,-36.99,Pass,3,45,458,191,0.28,Pass,49,Pass
7.4,5G,802.11ax,2,MCS7,20MHz,5600,-0.11,34,17.57,(17.00 - 18.00),Pass,23.11,-27.30,Pass,19.03,-38.19,Pass,4,42,370,1302,0.31,Pass,49,Pass
7.4,5G,802.11ax,3,MCS7,20MHz,5600,-0.11,33,17.59,(17.00 - 18.00),Pass,23.17,-26.72,Pass,20.13,-38.31,Pass,4,43,365,1359,0.30,Pass,49,Pass
7.5,5G,802.11ax,0,MCS7,20MHz,5700,-0.15,33,17.70,(17.00 - 18.00),Pass,22.29,-28.78,Pass,20.27,-39.07,Pass,3,42,482,-761,0.27,Pass,49,Pass
